Well,Top,Depth
34/10-1,NEOGENE,163
34/10-1,NORDLAND GP,163
34/10-1,UTSIRA FM,936
34/10-1,PALEOGENE,946
34/10-1,HORDALAND GP,946
34/10-1,ROGALAND GP,1513
34/10-1,BALDER FM,1513
34/10-1,LISTA FM,1582
34/10-1,CRETACEOUS,1678
34/10-1,SHETLAND GP,1678
34/10-1,JORSALFARE FM,1678
34/10-1,KYRRE FM,1718
34/10-1,CROMER KNOLL GP,1783
34/10-1,JURASSIC,1783
34/10-1,VIKING GP,1783
34/10-1,DRAUPNE FM,1783
34/10-1,HEATHER FM,1783
34/10-1,BRENT GP,1783
34/10-1,TARBERT FM,1783
34/10-1,NESS FM,1797
34/10-1,ETIVE FM,1833
34/10-1,RANNOCH FM,1871
34/10-1,BROOM FM,1935
34/10-1,DUNLIN GP,1946
34/10-1,DRAKE FM,1946
34/10-1,COOK FM,2023
34/10-1,BURTON FM,2081
34/10-1,AMUNDSEN FM,2120
34/10-1,TRIASIC,2268
34/10-1,STATFJORD GP,2268
34/10-1,NANSEN FM,2268
34/10-1,EIRIKSSON FM,2329
34/10-1,RAUDE FM,2329
34/10-1,HEGRE GP,2367
34/10-1,LUNDE FM,2367
34/10-1,TD,2501
34/10-11,NEOGENE,254
34/10-11,NORDLAND GP,254
34/10-11,UTSIRA FM,958
34/10-11,PALEOGENE,980
34/10-11,HORDALAND GP,980
34/10-11,ROGALAND GP,1530
34/10-11,BALDER FM,1530
34/10-11,LISTA FM,1592
34/10-11,CRETACEOUS,1695
34/10-11,SHETLAND GP,1695
34/10-11,JORSALFARE FM,1868
34/10-11,KYRRE FM,1868
34/10-11,CROMER KNOLL GP,1868
34/10-11,JURASSIC,1868
34/10-11,VIKING GP,1868
34/10-11,DRAUPNE FM,1868
34/10-11,HEATHER FM,1868
34/10-11,BRENT GP,1868
34/10-11,TARBERT FM,1868
34/10-11,NESS FM,1868
34/10-11,ETIVE FM,1868
34/10-11,RANNOCH FM,1868
34/10-11,BROOM FM,1868
34/10-11,DUNLIN GP,1868
34/10-11,DRAKE FM,1868
34/10-11,COOK FM,1868
34/10-11,BURTON FM,1868
34/10-11,AMUNDSEN FM,1868
34/10-11,TRIASIC,1890
34/10-11,STATFJORD GP,1890
34/10-11,NANSEN FM,1890
34/10-11,EIRIKSSON FM,1935
34/10-11,RAUDE FM,2000
34/10-11,HEGRE GP,2089
34/10-11,LUNDE FM,2089
34/10-11,TD,2300
34/10-13,NEOGENE,252
34/10-13,NORDLAND GP,252
34/10-13,UTSIRA FM,926
34/10-13,PALEOGENE,953
34/10-13,HORDALAND GP,953
34/10-13,ROGALAND GP,1554
34/10-13,BALDER FM,1554
34/10-13,LISTA FM,1621
34/10-13,CRETACEOUS,1729
34/10-13,SHETLAND GP,1729
34/10-13,JORSALFARE FM,1908
34/10-13,KYRRE FM,1908
34/10-13,CROMER KNOLL GP,1908
34/10-13,JURASSIC,1908
34/10-13,VIKING GP,1908
34/10-13,DRAUPNE FM,1908
34/10-13,HEATHER FM,1908
34/10-13,BRENT GP,1908
34/10-13,TARBERT FM,1908
34/10-13,NESS FM,1908
34/10-13,ETIVE FM,1976
34/10-13,RANNOCH FM,2003
34/10-13,BROOM FM,2069
34/10-13,DUNLIN GP,2080
34/10-13,DRAKE FM,2080
34/10-13,COOK FM,2159
34/10-13,BURTON FM,2203
34/10-13,AMUNDSEN FM,2203
34/10-13,TRIASIC,2372
34/10-13,STATFJORD GP,2372
34/10-13,NANSEN FM,2596
34/10-13,EIRIKSSON FM,2596
34/10-13,RAUDE FM,2596
34/10-13,HEGRE GP,2596
34/10-13,LUNDE FM,3450
34/10-13,TD,3450
34/10-14,NEOGENE,252
34/10-14,NORDLAND GP,252
34/10-14,UTSIRA FM,926
34/10-14,PALEOGENE,953
34/10-14,HORDALAND GP,953
34/10-14,ROGALAND GP,1554
34/10-14,BALDER FM,1554
34/10-14,LISTA FM,1621
34/10-14,CRETACEOUS,1729
34/10-14,SHETLAND GP,1729
34/10-14,JORSALFARE FM,1908
34/10-14,KYRRE FM,1908
34/10-14,CROMER KNOLL GP,1908
34/10-14,JURASSIC,1908
34/10-14,VIKING GP,1908
34/10-14,DRAUPNE FM,1908
34/10-14,HEATHER FM,1908
34/10-14,BRENT GP,1908
34/10-14,TARBERT FM,1908
34/10-14,NESS FM,1908
34/10-14,ETIVE FM,1976
34/10-14,RANNOCH FM,2003
34/10-14,BROOM FM,2069
34/10-14,DUNLIN GP,2080
34/10-14,DRAKE FM,2080
34/10-14,COOK FM,2159
34/10-14,BURTON FM,2203
34/10-14,AMUNDSEN FM,2203
34/10-14,TRIASIC,2372
34/10-14,STATFJORD GP,2372
34/10-14,NANSEN FM,2596
34/10-14,EIRIKSSON FM,2596
34/10-14,RAUDE FM,2596
34/10-14,HEGRE GP,2596
34/10-14,LUNDE FM,2750
34/10-14,TD,2750
34/10-15,NEOGENE,189
34/10-15,NORDLAND GP,189
34/10-15,UTSIRA FM,903
34/10-15,PALEOGENE,918
34/10-15,HORDALAND GP,918
34/10-15,ROGALAND GP,1515
34/10-15,BALDER FM,1515
34/10-15,LISTA FM,1568
34/10-15,CRETACEOUS,1687
34/10-15,SHETLAND GP,1687
34/10-15,JORSALFARE FM,1827
34/10-15,KYRRE FM,1827
34/10-15,CROMER KNOLL GP,1827
34/10-15,JURASSIC,1827
34/10-15,VIKING GP,1827
34/10-15,DRAUPNE FM,1827
34/10-15,HEATHER FM,1827
34/10-15,BRENT GP,1827
34/10-15,TARBERT FM,1827
34/10-15,NESS FM,1827
34/10-15,ETIVE FM,1827
34/10-15,RANNOCH FM,1827
34/10-15,BROOM FM,1827
34/10-15,DUNLIN GP,1827
34/10-15,DRAKE FM,1827
34/10-15,COOK FM,1870
34/10-15,BURTON FM,2034
34/10-15,AMUNDSEN FM,2049
34/10-15,TRIASIC,2213
34/10-15,STATFJORD GP,2213
34/10-15,NANSEN FM,2450
34/10-15,EIRIKSSON FM,2450
34/10-15,RAUDE FM,2450
34/10-15,HEGRE GP,2450
34/10-15,LUNDE FM,2450
34/10-15,TD,2450
34/10-19,NEOGENE,215
34/10-19,NORDLAND GP,215
34/10-19,UTSIRA FM,930
34/10-19,PALEOGENE,935
34/10-19,HORDALAND GP,935
34/10-19,ROGALAND GP,1470
34/10-19,BALDER FM,1470
34/10-19,LISTA FM,1532
34/10-19,CRETACEOUS,1660
34/10-19,SHETLAND GP,1660
34/10-19,JORSALFARE FM,1776
34/10-19,KYRRE FM,1776
34/10-19,CROMER KNOLL GP,1776
34/10-19,JURASSIC,1779
34/10-19,VIKING GP,1779
34/10-19,DRAUPNE FM,1779
34/10-19,HEATHER FM,1779
34/10-19,BRENT GP,1779
34/10-19,TARBERT FM,1779
34/10-19,NESS FM,1779
34/10-19,ETIVE FM,1779
34/10-19,RANNOCH FM,1779
34/10-19,BROOM FM,1779
34/10-19,DUNLIN GP,1779
34/10-19,DRAKE FM,1779
34/10-19,COOK FM,1779
34/10-19,BURTON FM,1830
34/10-19,AMUNDSEN FM,1840
34/10-19,TRIASIC,2005
34/10-19,STATFJORD GP,2005
34/10-19,NANSEN FM,2188
34/10-19,EIRIKSSON FM,2188
34/10-19,RAUDE FM,2188
34/10-19,HEGRE GP,2188
34/10-19,LUNDE FM,2300
34/10-19,TD,2300
34/10-3,NEOGENE,165
34/10-3,NORDLAND GP,165
34/10-3,UTSIRA FM,940
34/10-3,PALEOGENE,958
34/10-3,HORDALAND GP,958
34/10-3,NO FORMAL NAME,1118
34/10-3,NO FORMAL NAME,1225
34/10-3,NO FORMAL NAME,1252
34/10-3,NO FORMAL NAME,1425
34/10-3,ROGALAND GP,1578
34/10-3,BALDER FM,1578
34/10-3,LISTA FM,1637
34/10-3,CRETACEOUS,1748
34/10-3,SHETLAND GP,1748
34/10-3,JORSALFARE FM,1748
34/10-3,KYRRE FM,1827
34/10-3,CROMER KNOLL GP,1886
34/10-3,JURASSIC,1892
34/10-3,VIKING GP,1892
34/10-3,DRAUPNE FM,1892
34/10-3,HEATHER FM,1892
34/10-3,BRENT GP,1892
34/10-3,TARBERT FM,1892
34/10-3,NESS FM,1892
34/10-3,ETIVE FM,1978
34/10-3,RANNOCH FM,2002
34/10-3,BROOM FM,2084
34/10-3,DUNLIN GP,2092
34/10-3,DRAKE FM,2092
34/10-3,COOK FM,2201
34/10-3,BURTON FM,2326
34/10-3,AMUNDSEN FM,2336
34/10-3,TRIASIC,2495
34/10-3,STATFJORD GP,2495
34/10-3,NANSEN FM,2495
34/10-3,EIRIKSSON FM,2561
34/10-3,RAUDE FM,2677
34/10-3,HEGRE GP,2715
34/10-3,LUNDE FM,2715
34/10-3,TD,2850
34/10-34,NEOGENE,163
34/10-34,NORDLAND GP,163
34/10-34,UTSIRA FM,923
34/10-34,PALEOGENE,923
34/10-34,HORDALAND GP,923
34/10-34,ROGALAND GP,1600
34/10-34,BALDER FM,1600
34/10-34,LISTA FM,1660
34/10-34,CRETACEOUS,1806
34/10-34,SHETLAND GP,1806
34/10-34,JORSALFARE FM,1991
34/10-34,KYRRE FM,1991
34/10-34,CROMER KNOLL GP,1991
34/10-34,JURASSIC,1991
34/10-34,VIKING GP,1991
34/10-34,DRAUPNE FM,1991
34/10-34,HEATHER FM,1991
34/10-34,BRENT GP,1993
34/10-34,TARBERT FM,1993
34/10-34,NESS FM,2082
34/10-34,ETIVE FM,2171
34/10-34,RANNOCH FM,2188
34/10-34,BROOM FM,2268
34/10-34,DUNLIN GP,2275
34/10-34,DRAKE FM,2275
34/10-34,COOK FM,2357
34/10-34,BURTON FM,2399
34/10-34,AMUNDSEN FM,2399
34/10-34,TRIASIC,2399
34/10-34,STATFJORD GP,2399
34/10-34,NANSEN FM,2399
34/10-34,EIRIKSSON FM,2399
34/10-34,RAUDE FM,2399
34/10-34,HEGRE GP,2399
34/10-34,LUNDE FM,2399
34/10-34,TD,2399
34/10-4,NEOGENE,223
34/10-4,NORDLAND GP,223
34/10-4,UTSIRA FM,950
34/10-4,PALEOGENE,962
34/10-4,HORDALAND GP,962
34/10-4,NO FORMAL NAME,1110
34/10-4,NO FORMAL NAME,1227
34/10-4,NO FORMAL NAME,1273
34/10-4,NO FORMAL NAME,1340
34/10-4,ROGALAND GP,1520
34/10-4,BALDER FM,1520
34/10-4,LISTA FM,1580
34/10-4,CRETACEOUS,1690
34/10-4,SHETLAND GP,1690
34/10-4,JORSALFARE FM,1690
34/10-4,KYRRE FM,1745
34/10-4,CROMER KNOLL GP,1816
34/10-4,JURASSIC,1816
34/10-4,VIKING GP,1816
34/10-4,DRAUPNE FM,1816
34/10-4,HEATHER FM,1816
34/10-4,BRENT GP,1816
34/10-4,TARBERT FM,1816
34/10-4,NESS FM,1816
34/10-4,ETIVE FM,1816
34/10-4,RANNOCH FM,1816
34/10-4,BROOM FM,1905
34/10-4,DUNLIN GP,1916
34/10-4,DRAKE FM,1916
34/10-4,COOK FM,2025
34/10-4,BURTON FM,2165
34/10-4,AMUNDSEN FM,2175
34/10-4,TRIASIC,2340
34/10-4,STATFJORD GP,2340
34/10-4,NANSEN FM,2340
34/10-4,EIRIKSSON FM,2435
34/10-4,RAUDE FM,2458
34/10-4,HEGRE GP,2481
34/10-4,LUNDE FM,2481
34/10-4,TD,2650
34/10-5,NEOGENE,161
34/10-5,NORDLAND GP,161
34/10-5,UTSIRA FM,916
34/10-5,NO FORMAL NAME,925
34/10-5,PALEOGENE,945
34/10-5,HORDALAND GP,945
34/10-5,NO FORMAL NAME,1057
34/10-5,NO FORMAL NAME,1097
34/10-5,NO FORMAL NAME,1120
34/10-5,NO FORMAL NAME,1195
34/10-5,NO FORMAL NAME,1215
34/10-5,NO FORMAL NAME,1390
34/10-5,ROGALAND GP,1555
34/10-5,BALDER FM,1555
34/10-5,LISTA FM,1613
34/10-5,CRETACEOUS,1734
34/10-5,SHETLAND GP,1734
34/10-5,JORSALFARE FM,1734
34/10-5,KYRRE FM,1857
34/10-5,CROMER KNOLL GP,1857
34/10-5,JURASSIC,1857
34/10-5,VIKING GP,1857
34/10-5,DRAUPNE FM,1857
34/10-5,HEATHER FM,1858
34/10-5,BRENT GP,1896
34/10-5,TARBERT FM,1896
34/10-5,NESS FM,1970
34/10-5,ETIVE FM,2035
34/10-5,RANNOCH FM,2070
34/10-5,BROOM FM,2134
34/10-5,DUNLIN GP,2148
34/10-5,DRAKE FM,2148
34/10-5,COOK FM,2240
34/10-5,BURTON FM,2381
34/10-5,AMUNDSEN FM,2388
34/10-5,TRIASIC,2562
34/10-5,STATFJORD GP,2562
34/10-5,NANSEN FM,2562
34/10-5,EIRIKSSON FM,2649
34/10-5,RAUDE FM,2732
34/10-5,HEGRE GP,2764
34/10-5,LUNDE FM,2764
34/10-5,TD,2850
34/10-6,NEOGENE,248
34/10-6,NORDLAND GP,248
34/10-6,UTSIRA FM,946
34/10-6,NO FORMAL NAME,975
34/10-6,PALEOGENE,1005
34/10-6,HORDALAND GP,1005
34/10-6,NO FORMAL NAME,1100
34/10-6,NO FORMAL NAME,1155
34/10-6,NO FORMAL NAME,1217
34/10-6,NO FORMAL NAME,1317
34/10-6,NO FORMAL NAME,1347
34/10-6,NO FORMAL NAME,1382
34/10-6,NO FORMAL NAME,1435
34/10-6,NO FORMAL NAME,1455
34/10-6,ROGALAND GP,1578
34/10-6,BALDER FM,1578
34/10-6,LISTA FM,1638
34/10-6,CRETACEOUS,1757
34/10-6,SHETLAND GP,1757
34/10-6,JORSALFARE FM,1757
34/10-6,KYRRE FM,1990
34/10-6,CROMER KNOLL GP,1990
34/10-6,JURASSIC,1995
34/10-6,VIKING GP,1995
34/10-6,DRAUPNE FM,1995
34/10-6,HEATHER FM,1997
34/10-6,BRENT GP,2075
34/10-6,TARBERT FM,2075
34/10-6,NESS FM,2105
34/10-6,ETIVE FM,2165
34/10-6,RANNOCH FM,2197
34/10-6,BROOM FM,2273
34/10-6,DUNLIN GP,2290
34/10-6,DRAKE FM,2290
34/10-6,COOK FM,2370
34/10-6,BURTON FM,2370
34/10-6,AMUNDSEN FM,2370
34/10-6,TRIASIC,2370
34/10-6,STATFJORD GP,2370
34/10-6,NANSEN FM,2370
34/10-6,EIRIKSSON FM,2370
34/10-6,RAUDE FM,2370
34/10-6,HEGRE GP,2370
34/10-6,LUNDE FM,2370
34/10-6,TD,2370
34/10-7,NEOGENE,229
34/10-7,NORDLAND GP,229
34/10-7,UTSIRA FM,895
34/10-7,NO FORMAL NAME,934
34/10-7,PALEOGENE,965
34/10-7,HORDALAND GP,965
34/10-7,NO FORMAL NAME,1015
34/10-7,NO FORMAL NAME,1063
34/10-7,NO FORMAL NAME,1100
34/10-7,NO FORMAL NAME,1130
34/10-7,NO FORMAL NAME,1180
34/10-7,NO FORMAL NAME,1308
34/10-7,ROGALAND GP,1515
34/10-7,BALDER FM,1515
34/10-7,LISTA FM,1568
34/10-7,CRETACEOUS,1666
34/10-7,SHETLAND GP,1666
34/10-7,JORSALFARE FM,1666
34/10-7,KYRRE FM,1750
34/10-7,CROMER KNOLL GP,1810
34/10-7,JURASSIC,1810
34/10-7,VIKING GP,1810
34/10-7,DRAUPNE FM,1810
34/10-7,HEATHER FM,1810
34/10-7,BRENT GP,1810
34/10-7,TARBERT FM,1810
34/10-7,NESS FM,1810
34/10-7,ETIVE FM,1810
34/10-7,RANNOCH FM,1810
34/10-7,BROOM FM,1810
34/10-7,DUNLIN GP,1810
34/10-7,DRAKE FM,1810
34/10-7,COOK FM,1810
34/10-7,BURTON FM,1937
34/10-7,AMUNDSEN FM,1945
34/10-7,TRIASIC,2053
34/10-7,STATFJORD GP,2053
34/10-7,NANSEN FM,2053
34/10-7,EIRIKSSON FM,2140
34/10-7,RAUDE FM,2140
34/10-7,HEGRE GP,2180
34/10-7,LUNDE FM,2180
34/10-7,TD,2370
34/10-8,NEOGENE,158
34/10-8,NORDLAND GP,158
34/10-8,UTSIRA FM,933
34/10-8,PALEOGENE,946
34/10-8,HORDALAND GP,946
34/10-8,NO FORMAL NAME,1096
34/10-8,NO FORMAL NAME,1365
34/10-8,ROGALAND GP,1534
34/10-8,BALDER FM,1534
34/10-8,LISTA FM,1575
34/10-8,CRETACEOUS,1719
34/10-8,SHETLAND GP,1719
34/10-8,JORSALFARE FM,1719
34/10-8,KYRRE FM,1821
34/10-8,CROMER KNOLL GP,1821
34/10-8,JURASSIC,1821
34/10-8,VIKING GP,1821
34/10-8,DRAUPNE FM,1821
34/10-8,HEATHER FM,1821
34/10-8,BRENT GP,1821
34/10-8,TARBERT FM,1821
34/10-8,NESS FM,1853
34/10-8,ETIVE FM,1975
34/10-8,RANNOCH FM,2005
34/10-8,BROOM FM,2040
34/10-8,DUNLIN GP,2054
34/10-8,DRAKE FM,2054
34/10-8,COOK FM,2133
34/10-8,BURTON FM,2214
34/10-8,AMUNDSEN FM,2214
34/10-8,TRIASIC,2214
34/10-8,STATFJORD GP,2214
34/10-8,NANSEN FM,2214
34/10-8,EIRIKSSON FM,2214
34/10-8,RAUDE FM,2214
34/10-8,HEGRE GP,2214
34/10-8,LUNDE FM,2214
34/10-8,TD,2214
34/10-9,NEOGENE,227
34/10-9,NORDLAND GP,227
34/10-9,UTSIRA FM,921
34/10-9,NO FORMAL NAME,945
34/10-9,PALEOGENE,990
34/10-9,HORDALAND GP,990
34/10-9,NO FORMAL NAME,1163
34/10-9,NO FORMAL NAME,1362
34/10-9,ROGALAND GP,1510
34/10-9,BALDER FM,1510
34/10-9,LISTA FM,1575
34/10-9,CRETACEOUS,1696
34/10-9,SHETLAND GP,1696
34/10-9,JORSALFARE FM,1696
34/10-9,KYRRE FM,1767
34/10-9,CROMER KNOLL GP,1833
34/10-9,JURASSIC,1833
34/10-9,VIKING GP,1833
34/10-9,DRAUPNE FM,1833
34/10-9,HEATHER FM,1833
34/10-9,BRENT GP,1833
34/10-9,TARBERT FM,1833
34/10-9,NESS FM,1833
34/10-9,ETIVE FM,1836
34/10-9,RANNOCH FM,1867
34/10-9,BROOM FM,1945
34/10-9,DUNLIN GP,1957
34/10-9,DRAKE FM,1957
34/10-9,COOK FM,2083
34/10-9,BURTON FM,2440
34/10-9,AMUNDSEN FM,2440
34/10-9,TRIASIC,2440
34/10-9,STATFJORD GP,2440
34/10-9,NANSEN FM,2440
34/10-9,EIRIKSSON FM,2440
34/10-9,RAUDE FM,2440
34/10-9,HEGRE GP,2440
34/10-9,LUNDE FM,2440
34/10-9,TD,2440
